x[mm]	y[mm]	z[mm]				delta_x	delta_y	x_0	y_0
						66.36	378.4	100	12.8
100	10.8	25							
100	10.8	-3							
100	10.8	25							
166.36	10.8	25							
166.36	10.8	-3							
166.36	10.8	25							
232.72	10.8	25							
232.72	10.8	-3							
232.72	10.8	25							
299.08	10.8	25							
299.08	10.8	-3							
299.08	10.8	25							
365.44	10.8	25							
365.44	10.8	-3							
365.44	10.8	25							
431.8	10.8	25							
431.8	10.8	-3							
431.8	10.8	25							
498.16	10.8	25							
498.16	10.8	-3							
498.16	10.8	25							
564.52	10.8	25							
564.52	10.8	-3							
564.52	10.8	25							
630.88	10.8	25							
630.88	10.8	-3							
630.88	10.8	25							
697.24	10.8	25							
697.24	10.8	-3							
697.24	10.8	25							
763.6	10.8	25							
763.6	10.8	-3							
763.6	10.8	25							
829.96	10.8	25							
829.96	10.8	-3							
829.96	10.8	25							
896.32	10.8	25							
896.32	10.8	-3							
896.32	10.8	25							
962.68	10.8	25							
962.68	10.8	-3							
962.68	10.8	25							
1029.04	10.8	25							
1029.04	10.8	-3							
1029.04	10.8	25							
1095.4	10.8	25							
1095.4	10.8	-3							
1095.4	10.8	25							
1161.76	10.8	25							
1161.76	10.8	-3							
1161.76	10.8	25							
1228.12	10.8	25							
1228.12	10.8	-3							
1228.12	10.8	25							
1294.48	10.8	25							
1294.48	10.8	-3							
1294.48	10.8	25							
1360.84	10.8	25							
1360.84	10.8	-3							
1360.84	10.8	25							
1427.2	10.8	25							
1427.2	10.8	-3							
1427.2	10.8	25							
1294.48	389.2	25							
1294.48	389.2	-3							
1294.48	389.2	25							
1228.12	389.2	25							
1228.12	389.2	-3							
1228.12	389.2	25							
1161.76	389.2	25							
1161.76	389.2	-3							
1161.76	389.2	25							
1095.4	389.2	25							
1095.4	389.2	-3							
1095.4	389.2	25							
1029.04	389.2	25							
1029.04	389.2	-3							
1029.04	389.2	25							
962.68	389.2	25							
962.68	389.2	-3							
962.68	389.2	25							
896.32	389.2	25							
896.32	389.2	-3							
896.32	389.2	25							
829.96	389.2	25							
829.96	389.2	-3							
829.96	389.2	25							
763.6	389.2	25							
763.6	389.2	-3							
763.6	389.2	25							
697.24	389.2	25							
697.24	389.2	-3							
697.24	389.2	25							
630.88	389.2	25							
630.88	389.2	-3							
630.88	389.2	25							
564.52	389.2	25							
564.52	389.2	-3							
564.52	389.2	25							
498.16	389.2	25							
498.16	389.2	-3							
498.16	389.2	25							
431.8	389.2	25							
431.8	389.2	-3							
431.8	389.2	25							
365.44	389.2	25							
365.44	389.2	-3							
365.44	389.2	25							
299.08	389.2	25							
299.08	389.2	-3							
299.08	389.2	25							
232.72	389.2	25							
232.72	389.2	-3							
232.72	389.2	25							
166.36	389.2	25							
166.36	389.2	-3							
166.36	389.2	25							
100	389.2	25							
100	389.2	-3							
100	389.2	25							
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
1									
2									
3									
4									
5									
6									
7									
8									
9									
10									
11									
12									
13									
14									
15									
16									
17									
18									
19									
20									
21									
22									
23									
24									
25									
26									
27									
28									
29									
30									
31									
32									
33									
34									
35									
36									
37									
38									
39									
40									
41									
42									
43									
44									
45									
46									
47									
48									
49									
50									
51									
52									
53									
54									
55									
56									
57									
58									
59									
60									
61									
62									
63									
64									
65									
66									
67									
68									
69									
70									
71									
72									
73									
74									
75									
76									
77									
78									
79									
80									
81									
82									
83									
84									
85									
86									
87									
88									
89									
90									
91									
92									
93									
94									
95									
96									
97									
98									
99									
100									
101									
102									
103									
104									
105									
106									
107									
108									
109									
110									
111									
112									
113									
114									
115									
116									
117									
118									
119									
120									
121									
122									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
#REF!									
