x[mm]	y[mm]	z[mm]				delta_x	delta_y	x_0	y_0
100	12.8	-2				66.36	75.28	100	12.8
100	12.8	2							
166.36	12.8	-2							
166.36	12.8	2							
232.72	12.8	-2							
232.72	12.8	2							
299.08	12.8	-2							
299.08	12.8	2							
365.44	12.8	-2							
365.44	12.8	2							
431.8	12.8	-2							
431.8	12.8	2							
498.16	12.8	-2							
498.16	12.8	2							
564.52	12.8	-2							
564.52	12.8	2							
630.88	12.8	-2							
630.88	12.8	2							
697.24	12.8	-2							
630.88	12.8	2							
697.24	12.8	-2							
697.24	12.8	2							
763.6	12.8	-2							
763.6	12.8	2							
829.96	12.8	-2							
763.6	12.8	2							
829.96	12.8	-2							
829.96	12.8	2							
896.32	12.8	-2							
896.32	12.8	2							
962.68	12.8	-2							
896.32	12.8	2							
962.68	12.8	-2							
962.68	12.8	2							
1029.04	12.8	-2							
1029.04	12.8	2							
1095.4	12.8	-2							
1095.4	12.8	2							
1161.76	12.8	-2							
1161.76	12.8	2							
1228.12	12.8	-2							
1228.12	12.8	2							
1294.48	12.8	-2							
1294.48	12.8	2							
1360.84	12.8	-2							
1360.84	12.8	2							
1427.2	12.8	-2							
1427.2	12.8	2							
1493.56	12.8	-2							
1493.56	12.8	2							
100	88.08	-2							
100	88.08	2							
166.36	88.08	-2							
166.36	88.08	2							
232.72	88.08	-2							
232.72	88.08	2							
299.08	88.08	-2							
299.08	88.08	2							
365.44	88.08	-2							
365.44	88.08	2							
431.8	88.08	-2							
431.8	88.08	2							
498.16	88.08	-2							
498.16	88.08	2							
564.52	88.08	-2							
564.52	88.08	2							
630.88	88.08	-2							
630.88	88.08	2							
697.24	88.08	-2							
630.88	88.08	2							
697.24	88.08	-2							
697.24	88.08	2							
763.6	88.08	-2							
763.6	88.08	2							
829.96	88.08	-2							
763.6	88.08	2							
829.96	88.08	-2							
829.96	88.08	2							
896.32	88.08	-2							
896.32	88.08	2							
962.68	88.08	-2							
896.32	88.08	2							
962.68	88.08	-2							
962.68	88.08	2							
1029.04	88.08	-2							
1029.04	88.08	2							
1095.4	88.08	-2							
1095.4	88.08	2							
1161.76	88.08	-2							
1161.76	88.08	2							
1228.12	88.08	-2							
1228.12	88.08	2							
1294.48	88.08	-2							
1294.48	88.08	2							
1360.84	88.08	-2							
1360.84	88.08	2							
1427.2	88.08	-2							
1427.2	88.08	2							
1493.56	88.08	-2							
1493.56	88.08	2							
100	163.36	-2							
100	163.36	2							
166.36	163.36	-2							
166.36	163.36	2							
232.72	163.36	-2							
232.72	163.36	2							
299.08	163.36	-2							
299.08	163.36	2							
365.44	163.36	-2							
365.44	163.36	2							
431.8	163.36	-2							
431.8	163.36	2							
498.16	163.36	-2							
498.16	163.36	2							
564.52	163.36	-2							
564.52	163.36	2							
630.88	163.36	-2							
630.88	163.36	2							
697.24	163.36	-2							
630.88	163.36	2							
697.24	163.36	-2							
697.24	163.36	2							
763.6	163.36	-2							
763.6	163.36	2							
829.96	163.36	-2							
763.6	163.36	2							
829.96	163.36	-2							
829.96	163.36	2							
896.32	163.36	-2							
896.32	163.36	2							
962.68	163.36	-2							
896.32	163.36	2							
962.68	163.36	-2							
962.68	163.36	2							
1029.04	163.36	-2							
1029.04	163.36	2							
1095.4	163.36	-2							
1095.4	163.36	2							
1161.76	163.36	-2							
1161.76	163.36	2							
1228.12	163.36	-2							
1228.12	163.36	2							
1294.48	163.36	-2							
1294.48	163.36	2							
1360.84	163.36	-2							
1360.84	163.36	2							
1427.2	163.36	-2							
1427.2	163.36	2							
1493.56	163.36	-2							
1493.56	163.36	2							
100	238.64	-2							
100	238.64	2							
166.36	238.64	-2							
166.36	238.64	2							
232.72	238.64	-2							
232.72	238.64	2							
299.08	238.64	-2							
299.08	238.64	2							
365.44	238.64	-2							
365.44	238.64	2							
431.8	238.64	-2							
431.8	238.64	2							
498.16	238.64	-2							
498.16	238.64	2							
564.52	238.64	-2							
564.52	238.64	2							
630.88	238.64	-2							
630.88	238.64	2							
697.24	238.64	-2							
630.88	238.64	2							
697.24	238.64	-2							
697.24	238.64	2							
763.6	238.64	-2							
763.6	238.64	2							
829.96	238.64	-2							
763.6	238.64	2							
829.96	238.64	-2							
829.96	238.64	2							
896.32	238.64	-2							
896.32	238.64	2							
